product_id,name,category,base_price,production_cost,weight_kg,active
PROD-001,Divano Roma (3-Seater Leather Sofa),Sofas,3200.0,1856.0,85.0,True
PROD-002,Divano Venezia (Sectional Fabric Sofa),Sofas,4500.0,2610.0,120.0,True
PROD-003,Poltrona Capri (Accent Armchair),Sofas,1400.0,812.0,35.0,True
PROD-004,Divano Amalfi (2-Seater Velvet Sofa),Sofas,2600.0,1508.0,65.0,True
PROD-005,Letto Firenze (King Platform Bed),Beds,2800.0,1540.0,95.0,True
PROD-006,Letto Siena (Queen Upholstered Bed),Beds,2200.0,1210.0,80.0,True
PROD-007,Letto Verona (Storage Bed Frame),Beds,1900.0,1045.0,110.0,True
PROD-008,Letto Portofino (Canopy Bed),Beds,3500.0,1925.0,130.0,True
PROD-009,Tavolo Milano (Walnut Dining Table),Tables,2400.0,1320.0,70.0,True
PROD-010,Tavolino Lago (Glass Coffee Table),Tables,850.0,467.5,28.0,True
PROD-011,Scrivania Torino (Oak Home Office Desk),Tables,1600.0,880.0,55.0,True
PROD-012,Consolle Napoli (Console Table),Tables,980.0,539.0,22.0,True
PROD-013,Sedia Toscana (Leather Dining Chair),Chairs,650.0,357.5,8.5,True
PROD-014,Sedia Umbria (Fabric Dining Chair),Chairs,420.0,231.0,7.0,True
PROD-015,Poltrona Giardino (Outdoor Lounge Chair),Chairs,780.0,429.0,12.0,True
PROD-016,Sgabello Bar Moderno (Modern Bar Stool),Chairs,380.0,209.0,6.0,True
PROD-017,Credenza Palermo (Sideboard),Storage,2100.0,1155.0,75.0,True
PROD-018,Libreria Bologna (Bookcase),Storage,1450.0,797.5,60.0,True
